Filename,Execution Time (s),Number of Variables,Satisfiability
data_kSAT_hberens.cnf,0.0002999305725097656,12,S
data_kSAT_hberens.cnf,0.0012412071228027344,12,U
data_kSAT_hberens.cnf,0.004388332366943359,16,U
data_kSAT_hberens.cnf,0.0005276203155517578,16,S
data_kSAT_hberens.cnf,0.008487939834594727,16,U
data_kSAT_hberens.cnf,0.0056438446044921875,16,U
data_kSAT_hberens.cnf,0.0043849945068359375,16,U
data_kSAT_hberens.cnf,0.007470607757568359,16,U
data_kSAT_hberens.cnf,0.0063512325286865234,16,U
data_kSAT_hberens.cnf,0.004040956497192383,16,U
data_kSAT_hberens.cnf,0.0063860416412353516,16,U
data_kSAT_hberens.cnf,0.0037810802459716797,16,S
data_kSAT_hberens.cnf,0.005650997161865234,18,U
data_kSAT_hberens.cnf,0.008570671081542969,18,U
data_kSAT_hberens.cnf,0.008816003799438477,18,U
data_kSAT_hberens.cnf,0.0077631473541259766,18,U
data_kSAT_hberens.cnf,0.008088827133178711,18,U
data_kSAT_hberens.cnf,0.003237009048461914,18,S
data_kSAT_hberens.cnf,0.009099245071411133,18,S
data_kSAT_hberens.cnf,0.0018281936645507812,18,S
data_kSAT_hberens.cnf,0.003550291061401367,18,U
data_kSAT_hberens.cnf,0.0055811405181884766,18,S
data_kSAT_hberens.cnf,0.0010867118835449219,20,S
data_kSAT_hberens.cnf,0.028651714324951172,20,U
data_kSAT_hberens.cnf,0.005405426025390625,20,S
data_kSAT_hberens.cnf,0.011315107345581055,20,U
data_kSAT_hberens.cnf,0.01846480369567871,20,S
data_kSAT_hberens.cnf,0.010869026184082031,20,U
data_kSAT_hberens.cnf,0.02091217041015625,20,U
data_kSAT_hberens.cnf,0.006685972213745117,20,S
data_kSAT_hberens.cnf,0.013741493225097656,20,U
data_kSAT_hberens.cnf,0.01508641242980957,20,U
data_kSAT_hberens.cnf,0.0007994174957275391,22,S
data_kSAT_hberens.cnf,0.015947818756103516,22,S
data_kSAT_hberens.cnf,0.028073787689208984,22,U
